source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
752,D0116368,Prior experience as a moderator of disaster impact on anxiety symptoms in older adults.,1988,American journal of community psychology,flood,FULLTEXT_REVIEW,"Older adults were interviewed before and after serious flooding with pre-flood symptoms controlled, but personal and community flood impact ascertainment and numerical effects are not described.",FULLTEXT_REVIEW,"Panel pre/post flood study with preflood anxiety controlled and plausible temporal counterfactual, but abstract reports only 'modest flood effects' without quantitative effect size or uncertainty; full text needed for extractable adjusted estimates.",FULLTEXT_REVIEW
753,D0116398,The longitudinal course of posttraumatic morbidity. The range of outcomes and their predictors,1988,Journal of Nervous and Mental Disease,wildfire,NARRATIVE_ONLY,The study follows exposed firefighters for 25 months after a bushfire and relates symptom courses to losses and exposure extent; no pre-fire outcome baseline is described.,NARRATIVE_ONLY,"All 469 firefighters were exposed to a bushfire disaster and followed for 25 months after the event; the abstract reports posttraumatic morbidity course and predictors without a pre-event outcome or unexposed counterfactual, so no hazard effect can be extracted.",DO_NOT_ADVANCE_MAIN_META
754,D0119871,"Resource loss, resource gain, and mental health among survivors of Hurricane Katrina.",2010,Journal of traumatic stress,cyclone,EXCLUDE,The explanatory variables are post-hurricane losses and gains in resources; hurricane exposure is controlled rather than estimated as the primary hazard effect.,NARRATIVE_ONLY,"Abstract tests resource loss/gain as predictors of posthurricane distress among 402 Katrina survivors, not a hurricane hazard effect. All participants experienced the same event; no hazard variation or credible counterfactual, so no extractable hazard effect.",DO_NOT_ADVANCE_MAIN_META
755,D0119948,Intrusive thoughts and young children's knowledge about thinking following a natural disaster.,2010,"Journal of child psychology and psychiatry, and allied disciplines",cyclone,NARRATIVE_ONLY,"Hurricane-exposed and control children were surveyed ten months after Katrina, with no pre-event intrusive-thought or mental-health outcome.",EXCLUDE,"Study measures children's intrusive thoughts and knowledge about thinking, not an eligible mental-health outcome (e.g., PTSD, depression, distress). Post-event hurricane-exposed vs control comparison only.",DO_NOT_ADVANCE_MAIN_META
756,D0120213,Emotional and biological stress measures in Katrina survivors relocated to Oklahoma.,2010,American journal of disaster medicine,cyclone,NARRATIVE_ONLY,Relocated Katrina survivors and Oklahoma controls were compared only 20 months after the disaster; no pre-hurricane mental-health outcome is available.,NARRATIVE_ONLY,"Single postdisaster assessment 20 months after Katrina comparing 34 relocated survivors with matched Oklahoma controls; no pre-event baseline or within-unit temporal variation, so exposed/unexposed single post-event comparison lacks a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
757,D0120775,Change of mental health status caused by flood in a Korean village: Prospective study over an eighteen-month period,2008,European Neuropsychopharmacology,flood,FULLTEXT_REVIEW,"Residents and a control village had pre- and post-flood measures, but the abstract reports within-flood-village change and post-event control prevalence without a clear comparative-change estimate.",META_ELIGIBLE,"Prospective cohort with pre-disaster mental-health measures in a village before a 2006 flood and follow-up after, reporting quantitative pre-post changes in PWI and SF-36 mental health with t, df, and p; qualifies as longitudinal pre/post with objectively verified flood exposure.",FULLTEXT_REVIEW
758,D0121868,Effect of heat stress on patients with COPD-a prospective telemedicine study on climate change,2013,American Journal of Respiratory and Critical Care Medicine,temperature,META_ELIGIBLE,"COPD patients were monitored repeatedly while stationary weather data identified matched heat and normal days; subjective wellbeing means, SDs, sample size, and p value are reported.",META_ELIGIBLE,"Prospective repeated-measures telemedicine study of COPD patients with daily objective temperature exposure and daily subjective well-being outcome. Heat days vs normal temperature days within patients provide temporal counterfactual; subjective well-being difference reported as 3.7±1.2 vs 2.1±0.6, P<0.002, giving extractable quantitative effect with uncertainty.",PRIORITY_FULLTEXT
759,D0122204,A prospective study of the impact of floods on the mental and physical health of older adults.,2013,Aging & mental health,flood,FULLTEXT_REVIEW,"Older adults completed mental-health surveys before and after a flood and affected versus unaffected change was compared, but flood experience ascertainment and numerical effects are not reported.",NARRATIVE_ONLY,"Longitudinal pre/post flood study with baseline and eligible outcomes, but flood exposure ('personally affected', 'greater flood exposure') is self-reported via flood experience questionnaires; no objective/externally verifiable exposure stated. Self-reported exposure only makes causal hazard effect unsuitable for meta-analysis.",ADJUDICATE_PRIORITY
760,D0122216,Posttraumatic stress disorder and use of psychiatric and alcohol related services: the effect of the 2004-2005 Florida hurricane seasons on veterans.,2013,Community mental health journal,cyclone,META_ELIGIBLE,Administrative service use changed after hurricane landfall in affected counties and was contrasted with non-affected counties; percentage changes and p values are reported.,FULLTEXT_REVIEW,"Abstract suggests pre-post change in mental health service use comparing hurricane-affected vs nonaffected counties (+28.0 vs -6.5%, p=0.001), but does not clearly describe pre-hurricane baseline, adjustment for confounding, or the counterfactual. Missing design details preclude META_ELIGIBLE.",FULLTEXT_REVIEW
761,D0122217,The course of posttraumatic stress symptoms and functional impairment following a disaster: what is the lasting influence of acute versus ongoing traumatic events and stressors?,2013,Social psychiatry and psychiatric epidemiology,cyclone,NARRATIVE_ONLY,"The cohort began 2-6 months after Hurricane Ike and followed symptoms thereafter; acute exposure was self-reported events and stressors, with no pre-event outcome.",NARRATIVE_ONLY,"Longitudinal post-hurricane study with three post-event interviews. Exposures are self-reported acute hurricane-related traumatic events/stressors and ongoing stressors, not objective or externally verifiable hurricane variation. No pre-event baseline or credible counterfactual for a registered hazard effect; reports associations of self-reported exposures with PTSS and functional impairment.",DO_NOT_ADVANCE_MAIN_META
762,D0125768,"Short-term effects of ambient temperature and air pollution on mental health hospitalizations in Bern, Switzerland",2021,Environmental Epidemiology,temperature,META_ELIGIBLE,Daily psychiatric hospitalizations over 1973-2018 were analyzed with conditional quasi-Poisson distributed-lag models; a temperature effect and 95% CI are reported.,META_ELIGIBLE,"Daily mental health hospitalizations and ambient temperature were analyzed with distributed lag quasi-Poisson regression, reporting a 4% (95% CI 2%-7%) increase per 10°C. Objective temperature exposure, eligible psychiatric service use outcome, and quantitative effect with uncertainty satisfy criteria.",PRIORITY_FULLTEXT
763,D0127791,Assessing heat vulnerability across life-cycle: Differential impacts on human health,2024,Environmental Epidemiology,temperature,FULLTEXT_REVIEW,"A time-stratified case-crossover analysis links heat to ED admissions, but the abstract gives no heat effect or uncertainty for the eligible mental-disease subgroup.",FULLTEXT_REVIEW,"Objective heat exposure and time-stratified case-crossover design are clear, but the abstract reports only all-cause ED admission ORs. Mental diseases appear as a cause-specific outcome with elevated risk but no quantitative mental-health effect or uncertainty, so full text is needed for an extractable mental-health estimate.",FULLTEXT_REVIEW
764,D0127794,Health impacts of dry and moist heat in South Korea,2024,Environmental Epidemiology,temperature,FULLTEXT_REVIEW,"The time-stratified case-crossover study reports higher mental-disease risk during moist heatwaves, but supplies no mental-health effect estimate or uncertainty.",FULLTEXT_REVIEW,"Objective dry/moist heatwave exposure and time-stratified case-crossover design are eligible, and mental disease ER hospitalization is an eligible psychiatric service use outcome. However, the abstract reports only that moist heatwave risk is higher for mental diseases without a mental-disease-specific quantitative effect and uncertainty, so full text is needed to confirm extractability.",FULLTEXT_REVIEW
